When: 2025-11-06 11:08:11 Episode: 1 Map: 11
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-06 11:12:25	 9076	 3166	3147	0	 59.77	 3	7 	0
2025-11-06 11:12:26	 9111	 3230	3247	0	 59.77	 0	0 	0
When: 2025-11-06 11:12:28 Episode: 1 Map: 3
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-06 11:14:04	 12518	 4514	3516	32	 248.55	 0	1 	0
2025-11-06 11:14:05	 12554	 4514	3516	32	 220.43	 1	1 	0
2025-11-06 11:14:06	 12589	 4514	3516	32	 220.43	 0	0 	0
When: 2025-11-06 11:14:21 Episode: 1 Map: 3
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-06 11:14:25	 13215	 4514	3516	32	 80.16	 1	7 	0
2025-11-06 11:14:26	 13250	 4514	3516	32	 36.21	 0	1 	0
2025-11-06 11:14:27	 13285	 4514	3516	32	 357.54	 0	0 	0
When: 2025-11-06 11:14:32 Episode: 1 Map: 3
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-06 11:14:35	 13514	 4514	3516	32	 260.86	 1	7 	0
2025-11-06 11:14:36	 13549	 4514	3516	32	 318.87	 -2	5 	0
2025-11-06 11:14:37	 13584	 4514	3516	32	 67.85	 -1	0 	0
2025-11-06 11:14:38	 13622	 4514	3516	32	 71.37	 1	2 	0
2025-11-06 11:14:39	 13657	 4514	3516	32	 99.49	 0	0 	0
2025-11-06 11:14:40	 13692	 4514	3516	32	 83.67	 -1	0 	0
2025-11-06 11:14:41	 13727	 4514	3516	32	 113.55	 -1	3 	0
2025-11-06 11:14:42	 13762	 4514	3516	32	 113.55	 1	-4 	0
2025-11-06 11:14:43	 13797	 4514	3516	32	 108.28	 0	-1 	0
2025-11-06 11:14:47	 13934	 4514	3516	32	 108.28	 -2	4 	0
2025-11-06 11:14:48	 13969	 4514	3516	32	 76.64	 2	6 	0
2025-11-06 11:14:49	 14004	 4514	3516	32	 108.28	 -2	5 	0
2025-11-06 11:14:50	 14039	 4514	3516	32	 34.45	 -1	0 	0
2025-11-06 11:14:51	 14074	 4514	3516	32	 27.42	 -5	-3 	0
2025-11-06 11:14:52	 14109	 4514	3516	32	 71.37	 -2	-4 	0
2025-11-06 11:14:53	 14144	 4514	3516	32	 111.80	 2	-8 	0
2025-11-06 11:14:54	 14179	 4514	3516	32	 111.80	 -2	4 	0
2025-11-06 11:14:55	 14214	 4514	3516	32	 152.23	 -4	3 	0
2025-11-06 11:14:56	 14249	 4514	3516	32	 76.64	 0	2 	0
2025-11-06 11:14:57	 14284	 4514	3516	32	 122.34	 -1	3 	0
2025-11-06 11:14:58	 14319	 4514	3516	32	 122.34	 -1	0 	0
2025-11-06 11:15:00	 14387	 4514	3516	32	 41.48	 4	4 	0
2025-11-06 11:15:01	 14422	 4514	3516	32	 41.48	 5	4 	0
2025-11-06 11:15:02	 14457	 4514	3516	32	 127.62	 0	4 	0
2025-11-06 11:15:03	 14492	 4514	3516	32	 192.66	 -2	1 	0
2025-11-06 11:15:04	 14527	 4514	3516	32	 208.48	 -4	-4 	0
2025-11-06 11:15:05	 14562	 4514	3516	32	 95.98	 -3	6 	0
2025-11-06 11:15:06	 14597	 4514	3516	32	 95.98	 -1	6 	0
2025-11-06 11:15:07	 14632	 4514	3516	32	 95.98	 -1	4 	0
2025-11-06 11:15:08	 14667	 4514	3516	32	 95.98	 -1	4 	0
