                         Chocolate Doom 3.1.0
Z_Init: Init zone memory allocation daemon. 
zone memory: 0x7e0a7bfa3010, 2000000 allocated for zone
Using /home/estudiante/.local/share/chocolate-doom/ for configuration and saves
V_Init: allocate screens.
M_LoadDefaults: Load system defaults.
saving config in /home/estudiante/.local/share/chocolate-doom/default.cfg
W_Init: Init WADfiles.
 adding ../misc/OriginalWADs/DOOM2.WAD
===========================================================================
                         DOOM 2: Hell on Earth
===========================================================================
 Chocolate Doom is free software, covered by the GNU General Public
 License.  There is NO warranty; not even for MERCHANTABILITY or FITNESS
 FOR A PARTICULAR PURPOSE. You are welcome to change and distribute
 copies under certain conditions. See the source for more information.
===========================================================================
I_Init: Setting up machine state.
OPL_Init: Using driver 'SDL'.
NET_Init: Init network subsystem.
M_Init: Init miscellaneous info.
R_Init: Init DOOM refresh daemon - ......................................
P_Init: Init Playloop state.
S_Init: Setting up sound.
I_SDL_PrecacheSounds: Precaching all sound effects.....................
D_CheckNetGame: Checking network game status.
startskill 2  deathmatch: 0  startmap: 1  startepisode: 1
player 1 of 1 (1 nodes)
Emulating the behavior of the 'Doom 1.9' executable.
HU_Init: Setting up heads up display.
ST_Init: Init status bar.
When: 2025-11-07 10:35:27 Episode: 1 Map: 11
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-07 10:42:48	 15641	 431	1279	56	 79.10	 0	5 	0
2025-11-07 10:42:49	 15676	 431	1495	56	 79.10	 0	6 	0
2025-11-07 10:42:50	 15711	 436	1618	56	 342.42	 0	0 	0
2025-11-07 10:42:52	 15784	 392	1626	56	 175.43	 -6	0 	0
2025-11-07 10:42:53	 15819	 188	1643	56	 124.45	 -2	0 	0
2025-11-07 10:42:54	 15854	 200	1685	56	 54.14	 3	5 	0
2025-11-07 10:42:55	 15889	 241	1843	48	 48.87	 0	5 	0
2025-11-07 10:42:56	 15924	 251	1902	48	 289.34	 0	0 	0
2025-11-07 10:42:57	 15962	 180	1807	56	 240.12	 -5	-7 	0
2025-11-07 10:42:58	 15997	 208	1613	56	 312.19	 4	-7 	0
2025-11-07 10:42:59	 16032	 393	1569	56	 27.77	 6	2 	0
2025-11-07 10:43:00	 16067	 649	1596	56	 291.09	 5	-5 	0
2025-11-07 10:43:01	 16102	 644	1508	56	 168.05	 -1	-1 	0
2025-11-07 10:43:02	 16137	 477	1580	56	 194.41	 -8	1 	0
2025-11-07 10:43:03	 16172	 350	1466	56	 317.46	 3	-6 	0
2025-11-07 10:43:05	 16223	 431	1394	56	 271.76	 0	-3 	0
2025-11-07 10:43:06	 16258	 431	1160	56	 271.76	 0	-9 	0
2025-11-07 10:43:07	 16293	 433	870	40	 298.12	 0	-9 	0
2025-11-07 10:43:08	 16328	 617	718	40	 41.84	 6	2 	0
2025-11-07 10:43:09	 16363	 875	769	40	 27.77	 8	1 	0
2025-11-07 10:43:10	 16398	 885	838	40	 66.45	 0	1 	0
2025-11-07 10:43:11	 16439	 887	850	40	 289.34	 0	-3 	0
2025-11-07 10:43:12	 16489	 915	784	40	 301.64	 0	0 	0
2025-11-07 10:43:14	 16541	 952	847	40	 61.17	 1	2 	0
2025-11-07 10:43:15	 16576	 969	880	40	 85.78	 0	2 	0
2025-11-07 10:43:16	 16611	 983	1022	40	 85.78	 0	6 	0
2025-11-07 10:43:17	 16664	 992	1096	40	 85.78	 0	4 	0
2025-11-07 10:43:18	 16699	 1003	1199	40	 85.78	 0	0 	0
2025-11-07 10:43:20	 16763	 1040	1131	40	 296.37	 3	-7 	0
2025-11-07 10:43:22	 16832	 964	1128	40	 161.02	 -7	2 	0
2025-11-07 10:43:23	 16884	 916	1101	40	 259.45	 0	-1 	0
2025-11-07 10:43:25	 16937	 956	1116	40	 18.98	 4	2 	0
2025-11-07 10:43:26	 16972	 1034	1100	40	 324.49	 2	-3 	0
2025-11-07 10:43:27	 17007	 1071	1104	40	 338.55	 0	-1 	0
2025-11-07 10:43:28	 17048	 1024	1080	40	 210.23	 -3	-2 	0
2025-11-07 10:43:29	 17089	 1027	1083	40	 150.47	 4	1 	0
2025-11-07 10:43:30	 17131	 1065	1107	40	 150.47	 -3	1 	0
2025-11-07 10:43:31	 17166	 949	1173	40	 222.54	 -1	-1 	0
2025-11-07 10:43:33	 17230	 941	1097	40	 264.73	 -1	-3 	0
2025-11-07 10:43:36	 17336	 1016	1151	40	 59.06	 2	1 	0
2025-11-07 10:43:37	 17371	 1012	1195	40	 118.83	 -2	1 	0
